time_s,detected_x_m,detected_y_m,true_x_m,true_y_m,position_error_m,detected_z_m
0.0,2.9978516841860765,6.000949607510276,3.0,6.0,0.002348832744136263,1.5
0.2,2.9388233151127414,5.877440030947269,2.941,5.8786,0.002466472238179971,1.5239744081907518
0.4,2.887132374951629,5.755423476924589,2.884,5.7543999999999995,0.0032953418415638596,1.5477954619842738
0.6000000000000001,2.8266150392475966,5.627623741701163,2.8289999999999997,5.6274,0.0023954327666087663,1.5713107879281405
0.8,2.7753344758059697,5.495150461481112,2.776,5.497599999999999,0.0025383383163703,1.5943699681848353
1.0,2.7234077045486367,5.367781286778747,2.725,5.365,0.0032048339972713287,1.616825502692595
1.2000000000000002,2.675714943488486,5.232354212984834,2.676,5.2296000000000005,0.0027689251309096553,1.6385337526624448
1.4000000000000001,2.631078570706813,5.09151134938124,2.629,5.0914,0.002081551072619495,1.659355859376265
1.6,2.5831541989637574,4.950640133753751,2.584,4.9504,0.0008792289875792801,1.6791586324087175
1.8,2.540089693518363,4.805970803182227,2.541,4.8065999999999995,0.0011065923034279334,1.697815401591442
2.0,2.4985698075688982,4.659251492671501,2.5,4.66,0.0016142222928696712,1.7152068272698568
2.2,2.458753264464013,4.51033257679105,2.461,4.510599999999999,0.0022625949132247768,1.7312216636696909
2.4000000000000004,2.4237576490019865,4.357444808312258,2.424,4.3584,0.0009854568314079204,1.7457574704902994
2.6,2.3899240175383762,4.202612278956208,2.389,4.203399999999999,0.0012142128536873167,1.7587212681730016
2.8000000000000003,2.35616495739755,4.046444159038295,2.3560000000000003,4.0456,0.0008601252379394519,1.7700301326529515
3.0,2.3269216311170937,3.886098844172587,2.325,3.8850000000000002,0.0022136225210749112,1.779611725790168
3.2,2.2966227130682473,3.724190273699204,2.2960000000000003,3.7216,0.0026640738357171607,1.7874047580867676
3.4000000000000004,2.2702154119475173,3.5562209291236058,2.269,3.5553999999999997,0.0014666802065045283,1.7933593807305948
3.6,2.244115812777079,3.3838935400949186,2.2439999999999998,3.3863999999999996,0.002509134084721969,1.797437504457506
3.8000000000000003,2.2208774328441407,3.2117084174746933,2.221,3.2146,0.0028941790214764094,1.799613043192675
4.0,2.1989968707137493,3.0388391346124464,2.2,3.04,0.0015342349275630416,1.7998720809124515
4.2,2.18092222642827,2.8621558500722153,2.181,2.8626,0.0004509078473599859,1.7982129606594228
4.4,2.163685859045672,2.6831103259458953,2.164,2.6823999999999995,0.000776690085297205,1.7946462951412856
4.6000000000000005,2.1486154145011476,2.500338124599134,2.149,2.4993999999999996,0.0010138953444159527,1.7891948988457345
4.800000000000001,2.135668784779378,2.313466989967673,2.136,2.313599999999999,0.000356924629398482,1.7818936421055973
5.0,2.1238823090505963,2.123249120888978,2.125,2.125,0.0020772122471698963,1.7727892280477044
5.2,2.115983717883641,1.933148624456565,2.116,1.9335999999999998,0.0004516691139807666,1.7619398938522548
5.4,2.1094454382286467,1.7397733820467287,2.109,1.7393999999999996,0.0005812309079527254,1.749415038233605
5.6000000000000005,2.105716189588234,1.5438573278722667,2.104,1.5423999999999993,0.00225146868289353,1.735294777525326
5.800000000000001,2.101983057791405,1.3429569234458913,2.101,1.3425999999999991,0.0010458474876720765,1.7196694332090754
6.0,2.10217887336035,1.140824904523597,2.1,1.1400000000000001,0.0023297975434560135,1.7026389541653453
6.2,2.098896224242293,0.9333793809320057,2.1010000000000004,0.9345999999999999,0.0024322383410900037,1.6843122773417134
6.4,2.1020513896654247,0.7255209572847008,2.104,0.7263999999999997,0.002137708663811349,1.664806630928138
6.6000000000000005,2.1097899979001915,0.5153510614813811,2.109,0.5153999999999996,0.0007915122620096206,1.6442467844965944
6.800000000000001,2.1155873382724733,0.3015492057729294,2.1160000000000005,0.3015999999999994,0.000415776087419006,1.6227642509016051
7.0,2.127179415183401,0.08765830706107772,2.125,0.08499999999999974,0.003437505923284424,1.6004964450467714
7.2,2.13471589718193,-0.13476137773469532,2.136,-0.13440000000000052,0.0013339842257346119,1.577585804898333
7.4,2.1475758058194425,-0.35625515819200093,2.149,-0.3566000000000007,0.0014653480598405292,1.5541788803682697
7.6000000000000005,2.166036350102251,-0.5821360610566003,2.1639999999999997,-0.5816000000000008,0.0021057262868997817,1.5304253958949805
7.800000000000001,2.1801883369989,-0.8089697127318869,2.181,-0.809400000000001,0.0009186642261760447,1.5064772927178287
8.0,2.200803505743915,-1.0400360848728367,2.2,-1.04,0.0008043156087951106,1.482487756971726
8.200000000000001,2.218722421767109,-1.2722783459278446,2.221,-1.2734000000000019,0.0025387931118007207,1.4586102398186316
8.4,2.242774647427241,-1.5081192312266838,2.244,-1.5096000000000003,0.0019220210944724068,1.434997475883786
8.6,2.267843858642617,-1.747674213961638,2.269,-1.7485999999999993,0.0014811288354077679,1.4118005062753296
8.8,2.2951920349308508,-1.9898126290013036,2.2960000000000003,-1.990400000000001,0.0009989055225978851,1.3891677124366568
9.0,2.3251976121756854,-2.2337756695709023,2.325,-2.235,0.0012401756212703124,1.3672438670115443
9.200000000000001,2.354310506538082,-2.480536231178164,2.3560000000000003,-2.482400000000001,0.0025155560775137506,1.3461692077932828
9.4,2.3894520263033887,-2.7343050671676736,2.3890000000000007,-2.7326000000000006,0.0017639676372403303,1.326078540681377
9.600000000000001,2.4252619984339763,-2.9875697873019655,2.4240000000000004,-2.985600000000002,0.002339380700598836,1.3071003773838272
9.8,2.462910915223148,-3.242623356075379,2.4610000000000007,-3.241400000000001,0.0022689638774603268,1.2893561133807583
10.0,2.501554576846321,-3.5016235992467877,2.5,-3.5000000000000004,0.0022478397819429606,1.2729592514076216
